SYSTEM:task_id	INPUT:name	INPUT:playlist-1	INPUT:playlist-2	INPUT:playlist-3	INPUT:track	OUTPUT:result	CONFIDENCE:result	GOLDEN:result	
00023063ad--638f71866802550c5d059e74	The Tech Thieves, Besomage, Meric Again.Beggin'	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/90628948	yes	88.88%		
00023063ad--638f71866802550c5d059e75	Fidel Wicked.Sunrise	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/28098602	no	84.00%		
00023063ad--638f71866802550c5d059e76	Miyagi & Эндшпиль.Need me	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315328	no	33.33%		
00023063ad--638f71866802550c5d059e77	Imanbek, BYOR.Belly Dancer	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/101100444	yes	81.81%		
00023063ad--638f71866802550c5d059e78	Filatov & Karas, Мумий Тролль.Amore Море, Goodbye	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/85660864	no	17.64%		
00023063ad--638f71866802550c5d059e79	Miyagi & Эндшпиль, Рем Дигга.I Got Love	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/35505245	no	98.43%		
00023063ad--638f71866802550c5d059e7a	SATOMIC.take it.	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107550261	no	42.85%		
00023063ad--638f71866802550c5d059e7b	Miyagi & Andy Panda.Minor	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/68348389	no	92.68%		
00023063ad--638f71866802550c5d059e7c	Kamazz.Как ты там	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/99902560	no	77.77%		
00023063ad--638f71866802550c5d059e7d	Султан Лагучев.Горький вкус	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/76434671	yes	99.90%		
00023063ad--638f71866802550c5d059e7e	HammAli & Navai.Птичка	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/83063895	no	65.21%		
00023063ad--638f71866802550c5d059e7f	BITTUEV.Братик	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/86767291	no	97.67%		
00023063ad--638f71866802550c5d059e80	ONEIL, SMOLA.Addicted	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/93173728	no	0.14%		
00023063ad--638f71866802550c5d059e81	71 Digits, Madison Mars.Out Of Touch	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/77450666	no	99.96%		
00023063ad--638f71866802550c5d059e82	Miyagi & Andy Panda.Там ревели горы	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/68348390	no	81.39%		
00023063ad--638f71866802550c5d059e83	Klaas.Sweet Dreams	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/67269825	yes	88.23%		
00023063ad--638f71866802550c5d059e84	GUMA.Стеклянная	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/88476064	no	77.77%		
00023063ad--638f71866802550c5d059e85	SRTW, Colin.Dreams	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/97716540	no	98.46%		
00023063ad--638f71866802550c5d059e86	Hippie Sabotage.Devil Eyes	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/34735046	no	99.98%		
00023063ad--638f71866802550c5d059e87	Foyon, Rumusen.Magic	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107438304	no	47.51%		
00023063ad--638f71866802550c5d059e88	Miyagi & Эндшпиль.Не теряя	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315324	no	81.39%		
00023063ad--638f71866802550c5d059e89	VERVGE.Desire	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107487424	no	99.99%		
00023063ad--638f71866802550c5d059e8a	Mostus.New Americana	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/85527923	no	60.86%		
00023063ad--638f71866802550c5d059e8b	ANNA ASTI.Повело	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/105406145	no	99.97%		
00023063ad--638f71866802550c5d059e8c	Artik & Asti.Гармония	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/99246251	no	55.55%		
00023063ad--638f71866802550c5d059e8d	ndls404.Sadness	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/64292021	no	80.00%		
00023063ad--638f71866802550c5d059e8e	PVSHV.Heart Feel	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108143918	no	80.00%		
00023063ad--638f71866802550c5d059e8f	Alex Menco.Don't Leave Me Alone	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107731260	no	90.72%		
00023063ad--638f71866802550c5d059e90	Vadim Adamov, Hardphol, Alena Roxis.Listen To Your Heart	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108070962	yes	99.94%		
00023063ad--638f71866802550c5d059e91	ELMAN, MONA.Черная любовь	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106094647	no	99.31%		
00023063ad--638f71866802550c5d059e92	Foyon, Rumusen.Everything You Need	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107113532	no	62.82%		
00023063ad--638f71866802550c5d059e93	Моя Мишель, Dose.Пташка	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/100864526	no	96.42%		
00023063ad--638f71866802550c5d059e94	MORGENSHTERN.SHEIKH	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108127249	no	99.91%		
00023063ad--638f71866802550c5d059e95	CHEBANOV.Ночь	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/88900923	yes	99.99%		
00023063ad--638f71866802550c5d059e96	Galibri & Mavik.Чак Норрис	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/103248366	no	96.55%		
00023063ad--638f71866802550c5d059e97	Ваня Дмитриенко.Венера-Юпитер	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/75642961	no	98.59%		
00023063ad--638f71866802550c5d059e98	fenekot.Stan (Sped Up)	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107091235	no	45.45%		
00023063ad--638f71866802550c5d059e99	SRTW.Call Me	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/102390821	no	99.98%		
00023063ad--638f71866802550c5d059e9a	STRACURE, MODERN CLVB, RØGE.Keep You Close	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108097632	yes	99.95%		
00023063ad--638f71866802550c5d059e9b	KALUMA, Stephanie Schulte.Ocean Drive	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/73253942	no	99.99%		
00023063ad--638f71866802550c5d059e9c	vibessmusic.LV	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/68466824	no	95.45%		
00023063ad--638f71866802550c5d059e9d	Timran, ZELL, Batrai, Aslai.Не пускайте танцевать	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/68938482	no	99.99%		
00023063ad--638f71866802550c5d059e9e	Oxxxymiron.BASSLINE BUSINESS	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108415398	no	98.65%		
00023063ad--638f71866802550c5d059e9f	SUNAMI.Под луной	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/76404418	no	99.31%		
00023063ad--638f71866802550c5d059ea0	Nefretle.Infinity	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/100540940	no	99.10%		
00023063ad--638f71866802550c5d059ea1	Лолита, Коста Лакоста.По-другому	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/95070082	no	47.51%		
00023063ad--638f71866802550c5d059ea2	FINIVOID, MrJay.IMMERSION	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107894964	no	99.99%		
00023063ad--638f71866802550c5d059ea3	DEAD BLONDE.Мальчик на девятке	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/65320824	no	80.00%		
00023063ad--638f71866802550c5d059ea4	Ramil'.Сияй	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/68562711	no	92.30%		
00023063ad--638f71866802550c5d059ea5	Besomorph, Anthony Keyrouz, Lunis.Apologize	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/68254126	no	99.90%		
00023063ad--638f71866802550c5d059ea6	Nimus, Nokyo.Into The Wild	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/71668766	no	81.81%		
00023063ad--638f71866802550c5d059ea7	Maxun.Died In Your Arms	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108106527	no	30.00%		
00023063ad--638f71866802550c5d059ea8	Miyagi & Эндшпиль.Ночь	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315319	no	55.55%		
00023063ad--638f71866802550c5d059ea9	Agunda.Ну почему	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/68004712	no	45.28%		
00023063ad--638f71866802550c5d059eaa	VERBEE, KARA KROSS.Не смогу	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/69572083	no	65.21%		
00023063ad--638f71866802550c5d059eab	Тайпан, Agunda.Луна не знает пути	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/61565558	no	99.99%		
00023063ad--638f71866802550c5d059eac	Chris Yank.Зацепила	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/99210462	no	53.33%		
00023063ad--638f71866802550c5d059ead	Антон Токарев.Седьмой лепесток	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/96477413	yes	99.77%		
00023063ad--638f71866802550c5d059eae	Brennan Savage.Lonely World	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/37437042	no	86.77%		
00023063ad--638f71866802550c5d059eaf	алёна швец..первое свидание	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/73439865	no	99.08%		
00023063ad--638f71866802550c5d059eb0	JONY.Комета	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/57921154	no	80.00%		
00023063ad--638f71866802550c5d059eb1	VESNA305.Кайфую	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/95996345	no	82.75%		
00023063ad--638f71866802550c5d059eb2	FINIK, ALEKS ATAMAN.Девочка бандитка	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/101338970	no	97.56%		
00023063ad--638f71866802550c5d059eb3	LIL KRYSTALLL, Лоя (5sta Family).Я БУДУ	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108207836	yes	99.85%		
00023063ad--638f71866802550c5d059eb4	GAYAZOV$ BROTHER$, Filatov & Karas.Пошла жара	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/84382287	no	55.55%		
00023063ad--638f71866802550c5d059eb5	Deepierro, NALYRO.Don't Speak	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/81157448	yes	71.70%		
00023063ad--638f71866802550c5d059eb6	JONY.Аллея	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/51298376	no	99.95%		
00023063ad--638f71866802550c5d059eb7	Zivert.Зелёные волны	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/39946957	no	96.55%		
00023063ad--638f71866802550c5d059eb8	Джарахов, Markul.Я в моменте	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/84382282	yes	57.14%		
00023063ad--638f71866802550c5d059eb9	Coopex, New Beat Order, Nito-Onna.Memories	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/82483662	no	99.95%		
00023063ad--638f71866802550c5d059eba	Dabro.Юность	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/65851540	no	99.91%		
00023063ad--638f71866802550c5d059ebb	STRACURE.BROKEN	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108097633	no	65.21%		
00023063ad--638f71866802550c5d059ebc	JONY.Мир сошёл с ума	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/69898877	no	98.46%		
00023063ad--638f71866802550c5d059ebd	NITI DILA.Забыла	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/73586477	yes	0.92%		
00023063ad--638f71866802550c5d059ebe	MARIANA, MODERN CLVB.создавай	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/104739344	no	99.80%		
